"Year","TA","Region","GDP","notes"
2004,"Ashburton District","Canterbury",948.83551814225,""
2004,"Auckland","Auckland",53178,""
2004,"Buller District","West Coast",272.777658534069,""
2004,"Carterton District","Wellington",178.392347185411,""
2004,"Central Hawke's Bay District","Hawke's Bay",434.412279527175,""
2004,"Central Otago District","Otago",525.01381582147,""
2004,"Christchurch City","Canterbury",12755.113135045,""
2004,"Clutha District","Otago",596.800236816625,""
2004,"Dunedin City","Otago",3844.95520252008,""
2004,"Far North District","Northland",1172.42530470052,""
2004,"Gisborne District","Gisborne",1098,""
2004,"Gore District","Southland",402.392432810173,""
2004,"Grey District","West Coast",393.175602322171,""
2004,"Hamilton City","Waikato",5030.15258053532,""
2004,"Hastings District","Hawke's Bay",2410.92021645281,""
2004,"Hauraki District","Waikato",342.276055860787,""
2004,"Horowhenua District","Manawatu-Wanganui",495.431699358816,""
2004,"Hurunui District","Canterbury",222.300503182618,""
2004,"Invercargill City","Southland",1703.11120331651,""
2004,"Kaikoura District","Canterbury",79.0518739049571,""
2004,"Kaipara District","Northland",346.878669296674,""
2004,"Kapiti Coast District","Wellington",449.326584968578,""
2004,"Kawerau District","Bay of Plenty",421.106352282089,""
2004,"Lower Hutt City","Wellington",2941.28568880317,""
2004,"Mackenzie District","Canterbury",115.829884074476,""
2004,"Manawatu District","Manawatu-Wanganui",484.296278744418,""
2004,"Marlborough District","Marlborough",1374,""
2004,"Masterton District","Wellington",595.134903803877,""
2004,"Matamata-Piako District","Waikato",978.441888875782,""
2004,"Napier City","Hawke's Bay",1469.62847983724,""
2004,"Nelson City","Nelson",1597.50696164295,""
2004,"New Plymouth District","Taranaki",3085.03102546596,""
2004,"Opotiki District","Bay of Plenty",187.304640945762,""
2004,"Otorohanga District","Waikato",248.539255524397,""
2004,"Palmerston North City","Manawatu-Wanganui",2931.89269686968,""
2004,"Porirua City","Wellington",796.87834851777,""
2004,"Queenstown-Lakes District","Otago",954.840683143614,""
2004,"Rangitikei District","Hawke's Bay",42.322851481167,""
2004,"Rangitikei District","Manawatu-Wanganui",271.84970700782,""
2004,"Rotorua District","Bay of Plenty",1440.48726547525,""
2004,"Rotorua District","Waikato",828.523599226826,""
2004,"Ruapehu District","Manawatu-Wanganui",458.707626256114,""
2004,"Selwyn District","Canterbury",709.357717096434,""
2004,"South Taranaki District","Taranaki",1425.57348896523,""
2004,"South Waikato District","Waikato",817.738518381198,""
2004,"South Wairarapa District","Wellington",188.234003273122,""
2004,"Southland District","Southland",1117.49636387331,""
2004,"Stratford District","Manawatu-Wanganui",54.2093977475382,""
2004,"Stratford District","Taranaki",145.395485568818,""
2004,"Tararua District","Manawatu-Wanganui",427.667752745915,""
2004,"Tararua District","Wellington",7.38828587300691,""
2004,"Tasman District","Tasman",1073.49303835705,""
2004,"Taupo District","Bay of Plenty",158.069935489049,""
2004,"Taupo District","Hawke's Bay",99.8739571412077,""
2004,"Taupo District","Manawatu-Wanganui",6.94874103047587,""
2004,"Taupo District","Waikato",753.345433390526,""
2004,"Tauranga City","Bay of Plenty",3426.10088596969,""
2004,"Thames-Coromandel District","Waikato",610.999057803713,""
2004,"Timaru District","Canterbury",1266.36368325788,""
2004,"Upper Hutt City","Wellington",516.301393041242,""
2004,"Waikato District","Waikato",975.025704225841,""
2004,"Waimakariri District","Canterbury",494.654375296366,""
2004,"Waimate District","Canterbury",138.286003958044,""
2004,"Waipa District","Waikato",956.673537473176,""
2004,"Wairoa District","Hawke's Bay",244.842215560402,""
2004,"Waitaki District","Canterbury",334.207306041993,""
2004,"Waitaki District","Otago",249.390061698209,""
2004,"Waitomo District","Manawatu-Wanganui",16.81805235424,""
2004,"Waitomo District","Waikato",340.284368702433,""
2004,"Wanganui District","Manawatu-Wanganui",1076.17804788499,""
2004,"Wellington City","Wellington",14805.0584445338,""
2004,"Western Bay of Plenty District","Bay of Plenty",759.595777513609,""
2004,"Westland District","West Coast",215.04673914376,""
2004,"Whakatane District","Bay of Plenty",939.33514232455,""
2004,"Whangarei District","Northland",2050.69602600281,""
2005,"Ashburton District","Canterbury",1007.01266706476,""
2005,"Auckland","Auckland",57355,""
2005,"Buller District","West Coast",262.004244314313,""
2005,"Carterton District","Wellington",197.027246347581,""
2005,"Central Hawke's Bay District","Hawke's Bay",461.897038558867,""
2005,"Central Otago District","Otago",545.934201756033,""
2005,"Christchurch City","Canterbury",13982.9510870128,""
2005,"Clutha District","Otago",629.19064730313,""
2005,"Dunedin City","Otago",4129.3435797014,""
2005,"Far North District","Northland",1269.37764699021,""
2005,"Gisborne District","Gisborne",1156,""
2005,"Gore District","Southland",406.518744810963,""
2005,"Grey District","West Coast",435.270436546946,""
2005,"Hamilton City","Waikato",5418.26757154362,""
2005,"Hastings District","Hawke's Bay",2590.2749700913,""
2005,"Hauraki District","Waikato",351.73649257205,""
2005,"Horowhenua District","Manawatu-Wanganui",547.141285845362,""
2005,"Hurunui District","Canterbury",232.543351239587,""
2005,"Invercargill City","Southland",1668.47163347639,""
2005,"Kaikoura District","Canterbury",89.9603988031633,""
2005,"Kaipara District","Northland",377.491699212332,""
2005,"Kapiti Coast District","Wellington",503.316469384506,""
2005,"Kawerau District","Bay of Plenty",467.826152864261,""
2005,"Lower Hutt City","Wellington",3226.04829134607,""
2005,"Mackenzie District","Canterbury",135.226141998583,""
2005,"Manawatu District","Manawatu-Wanganui",526.83635842697,""
2005,"Marlborough District","Marlborough",1455,""
2005,"Masterton District","Wellington",627.673227283019,""
2005,"Matamata-Piako District","Waikato",1030.68415308023,""
2005,"Napier City","Hawke's Bay",1594.71504344508,""
2005,"Nelson City","Nelson",1751.45710249042,""
2005,"New Plymouth District","Taranaki",3100.0909960123,""
2005,"Opotiki District","Bay of Plenty",200.263730217816,""
2005,"Otorohanga District","Waikato",258.515088587526,""
2005,"Palmerston North City","Manawatu-Wanganui",3132.78715205659,""
2005,"Porirua City","Wellington",844.607336473798,""
2005,"Queenstown-Lakes District","Otago",1101.07324449515,""
2005,"Rangitikei District","Hawke's Bay",47.7430248245142,""
2005,"Rangitikei District","Manawatu-Wanganui",300.881830104027,""
2005,"Rotorua District","Bay of Plenty",1487.5736115906,""
2005,"Rotorua District","Waikato",856.011969511264,""
2005,"Ruapehu District","Manawatu-Wanganui",425.528284133546,""
2005,"Selwyn District","Canterbury",776.145413375013,""
2005,"South Taranaki District","Taranaki",1447.82619209851,""
2005,"South Waikato District","Waikato",841.193806275164,""
2005,"South Wairarapa District","Wellington",194.863884442531,""
2005,"Southland District","Southland",1127.00962171265,""
2005,"Stratford District","Manawatu-Wanganui",55.7212570277837,""
2005,"Stratford District","Taranaki",142.08281188919,""
2005,"Tararua District","Manawatu-Wanganui",458.552830908808,""
2005,"Tararua District","Wellington",7.99475641674903,""
2005,"Tasman District","Tasman",1115.54289750958,""
2005,"Taupo District","Bay of Plenty",166.359093026468,""
2005,"Taupo District","Hawke's Bay",109.527441757299,""
2005,"Taupo District","Manawatu-Wanganui",7.04290944867004,""
2005,"Taupo District","Waikato",773.411026847542,""
2005,"Tauranga City","Bay of Plenty",3697.33880951221,""
2005,"Thames-Coromandel District","Waikato",641.20401409263,""
2005,"Timaru District","Canterbury",1408.40237267245,""
2005,"Upper Hutt City","Wellington",558.222557487037,""
2005,"Waikato District","Waikato",1021.6226596054,""
2005,"Waimakariri District","Canterbury",542.74128037602,""
2005,"Waimate District","Canterbury",139.12766614538,""
2005,"Waipa District","Waikato",1021.61595883335,""
2005,"Wairoa District","Hawke's Bay",250.842481322941,""
2005,"Waitaki District","Canterbury",356.889621312276,""
2005,"Waitaki District","Otago",272.45832674429,""
2005,"Waitomo District","Manawatu-Wanganui",17.5874098961137,""
2005,"Waitomo District","Waikato",355.737259051221,""
2005,"Wanganui District","Manawatu-Wanganui",1147.92068215213,""
2005,"Wellington City","Wellington",15345.2462308187,""
2005,"Western Bay of Plenty District","Bay of Plenty",799.464141677092,""
2005,"Westland District","West Coast",231.725319138741,""
2005,"Whakatane District","Bay of Plenty",1043.17446111156,""
2005,"Whangarei District","Northland",2295.13065379745,""
2006,"Ashburton District","Canterbury",995.334550462802,""
2006,"Auckland","Auckland",60175,""
2006,"Buller District","West Coast",290.451961611159,""
2006,"Carterton District","Wellington",173.951664362536,""
2006,"Central Hawke's Bay District","Hawke's Bay",425.159622034152,""
2006,"Central Otago District","Otago",632.514417572519,""
2006,"Christchurch City","Canterbury",14990.7582744071,""
2006,"Clutha District","Otago",558.140217973746,""
2006,"Dunedin City","Otago",4334.46031465752,""
2006,"Far North District","Northland",1323.68016722943,""
2006,"Gisborne District","Gisborne",1172,""
2006,"Gore District","Southland",417.587000897125,""
2006,"Grey District","West Coast",538.273313738482,""
2006,"Hamilton City","Waikato",5934.59603769505,""
2006,"Hastings District","Hawke's Bay",2662.5538194582,""
2006,"Hauraki District","Waikato",357.300485531789,""
2006,"Horowhenua District","Manawatu-Wanganui",618.151248504199,""
2006,"Hurunui District","Canterbury",240.614279314643,""
2006,"Invercargill City","Southland",1829.44088140089,""
2006,"Kaikoura District","Canterbury",92.4332560928486,""
2006,"Kaipara District","Northland",414.464723762863,""
2006,"Kapiti Coast District","Wellington",538.902695895024,""
2006,"Kawerau District","Bay of Plenty",426.087852358412,""
2006,"Lower Hutt City","Wellington",3496.61494695689,""
2006,"Mackenzie District","Canterbury",124.594172670762,""
2006,"Manawatu District","Manawatu-Wanganui",539.345154379131,""
2006,"Marlborough District","Marlborough",1541,""
2006,"Masterton District","Wellington",635.70102106373,""
2006,"Matamata-Piako District","Waikato",1111.86954606262,""
2006,"Napier City","Hawke's Bay",1706.22651231315,""
2006,"Nelson City","Nelson",1761.34771610016,""
2006,"New Plymouth District","Taranaki",3354.88591719537,""
2006,"Opotiki District","Bay of Plenty",207.025363282417,""
2006,"Otorohanga District","Waikato",258.492764465939,""
2006,"Palmerston North City","Manawatu-Wanganui",3436.21630458222,""
2006,"Porirua City","Wellington",922.287392889553,""
2006,"Queenstown-Lakes District","Otago",1169.98347200483,""
2006,"Rangitikei District","Hawke's Bay",48.6106145844552,""
2006,"Rangitikei District","Manawatu-Wanganui",309.926472536537,""
2006,"Rotorua District","Bay of Plenty",1567.47182056987,""
2006,"Rotorua District","Waikato",903.600891585022,""
2006,"Ruapehu District","Manawatu-Wanganui",448.870049260681,""
2006,"Selwyn District","Canterbury",787.56799577287,""
2006,"South Taranaki District","Taranaki",1368.5584651593,""
2006,"South Waikato District","Waikato",861.575600461821,""
2006,"South Wairarapa District","Wellington",202.024220206132,""
2006,"Southland District","Southland",1162.97211770199,""
2006,"Stratford District","Manawatu-Wanganui",56.8422316911253,""
2006,"Stratford District","Taranaki",143.555617645329,""
2006,"Tararua District","Manawatu-Wanganui",475.740263127883,""
2006,"Tararua District","Wellington",7.94252967098954,""
2006,"Tasman District","Tasman",1098.65228389984,""
2006,"Taupo District","Bay of Plenty",177.76555509698,""
2006,"Taupo District","Hawke's Bay",114.173062959592,""
2006,"Taupo District","Manawatu-Wanganui",8.11300756543282,""
2006,"Taupo District","Waikato",835.165861005473,""
2006,"Tauranga City","Bay of Plenty",3977.91767139797,""
2006,"Thames-Coromandel District","Waikato",670.520636778396,""
2006,"Timaru District","Canterbury",1407.27308979115,""
2006,"Upper Hutt City","Wellington",615.79946145314,""
2006,"Waikato District","Waikato",1111.29474227548,""
2006,"Waimakariri District","Canterbury",556.726882247499,""
2006,"Waimate District","Canterbury",130.312632341457,""
2006,"Waipa District","Waikato",1089.8173364531,""
2006,"Wairoa District","Hawke's Bay",233.276368650446,""
2006,"Waitaki District","Canterbury",371.384866898885,""
2006,"Waitaki District","Otago",272.901577791393,""
