"Year","TA","Region","GDP","GDP_real","GDP_perCapita","GDP_real_perCapita","notes"
2007,"Upper Hutt City","Wellington",214694431.18981,240726275.458716,5380812811.7747,6033239986.43399,"estimate"
2007,"Waikato District","Waikato",290734567.289153,336055771.259,4797600120.28304,5545474773.25082,"estimate"
2007,"Waimakariri District","Canterbury",185792506.732558,211326307.915947,4119567776.77512,4685727448.24715,"estimate"
2007,"Waimate District","Canterbury",37108864.3986497,43477991.2411768,4994463579.89902,5851681189.92958,"estimate"
2007,"Waipa District","Waikato",335666131.675171,384463838.300877,7526146450.11594,8620265432.75509,"estimate"
2007,"Wairoa District","Hawke's Bay",79367829.2732846,90350977.6850056,9218098638.01215,10493725631.2434,"estimate"
2007,"Waitaki District","Canterbury",133250070.141446,152230365.369392,6437201456.10849,7354123930.88851,"estimate"
2007,"Waitaki District","Otago",90291802.9875698,103367445.275811,4361922849.64106,4993596390.13579,"estimate"
2007,"Waitomo District","Manawatu-Wanganui",5265197.05776566,6009229.23327144,549603033.169693,627268187.189086,"estimate"
2007,"Waitomo District","Waikato",97369916.9289594,111178142.703436,10163874418.4718,11605234102.6551,"estimate"
2007,"Wanganui District","Manawatu-Wanganui",427447545.583064,483932515.587918,9803842788.60239,11099369623.5761,"estimate"
2007,"Wellington City","Wellington",5382487275.14284,6066151730.11943,28403626781.7564,32011354776.3558,"estimate"
2007,"Western Bay of Plenty District","Bay of Plenty",240463390.329611,276392135.69436,5515215374.53236,6339269167.30183,"estimate"
2007,"Westland District","West Coast",75616504.1945271,85969486.0920536,8751910207.6999,9950172001.3951,"estimate"
2007,"Whakatane District","Bay of Plenty",289282479.41541,329160455.918967,8409374401.61074,9568617904.62113,"estimate"
2007,"Whangarei District","Northland",833739099.839983,943539057.101806,10716440871.9792,12127751376.6299,"estimate"
2008,"Ashburton District","Canterbury",369831532.376135,398293695.40152,12708987366.8775,13687068570.499,"estimate"
2008,"Auckland","Auckland",22173749431.2324,24005798193.9276,15776413682.8405,17079899106.3163,"estimate"
2008,"Buller District","West Coast",122857225.251715,132829889.591021,12164081708.0906,13151474216.9327,"estimate"
2008,"Carterton District","Wellington",59510175.9730961,63303029.8031227,7882142512.99286,8384507258.69175,"estimate"
2008,"Central Hawke's Bay District","Hawke's Bay",130013671.630967,140590115.152487,9775464032.40355,10570685349.8111,"estimate"
2008,"Central Otago District","Otago",219344330.764295,235232589.169481,12462746066.1531,13365488020.9932,"estimate"
2008,"Christchurch City","Canterbury",5794324026.95825,6273581998.74422,15715552012.363,17015410899.7673,"estimate"
2008,"Clutha District","Otago",194847011.574272,209701151.236871,11262833038.9752,12121453828.7209,"estimate"
2008,"Dunedin City","Otago",1539351034.40231,1671770188.10095,12648734875.9434,13736813377.9864,"estimate"
2008,"Far North District","Northland",476914088.722878,514719562.839057,8152377585.00646,8798625005.79584,"estimate"
2008,"Gisborne District","Gisborne",481383900.113056,518869122.4653,10464867393.7621,11279763531.8544,"estimate"
2008,"Gore District","Southland",165356110.579625,179528828.644512,13443586225.9858,14595839727.1961,"estimate"
2008,"Grey District","West Coast",189814610.459147,205554327.812267,13905832268.0694,15058925114.4518,"estimate"
2008,"Hamilton City","Waikato",2287244915.18297,2474705868.61478,16490590592.5232,17842147574.728,"estimate"
2008,"Hastings District","Hawke's Bay",1048464503.82843,1132860560.62049,14149318540.1947,15288266675.0403,"estimate"
2008,"Hauraki District","Waikato",121043000.140125,130221640.383961,6596348781.47822,7096547159.88886,"estimate"
2008,"Horowhenua District","Manawatu-Wanganui",182595228.18434,196210013.301337,5947727302.42149,6391205644.99468,"estimate"
2008,"Hurunui District","Canterbury",72156182.974598,77072867.0924472,6589605751.10484,7038617999.31025,"estimate"
2008,"Invercargill City","Southland",696593887.552227,754751112.482668,13473769585.1495,14598667552.8562,"estimate"
2008,"Kaikoura District","Canterbury",34957627.5794315,37567810.6031469,9397211714.90095,10098873818.0502,"estimate"
2008,"Kaipara District","Northland",116840313.924118,125213780.729875,6149490206.53253,6590198985.78288,"estimate"
2008,"Kapiti Coast District","Wellington",201703025.204886,218400556.173668,4150268008.33098,4493838604.39646,"estimate"
2008,"Kawerau District","Bay of Plenty",124768385.437188,129804296.045272,17773274278.8017,18490640462.2895,"estimate"
2008,"Lower Hutt City","Wellington",1229413794.41404,1333384892.6361,12160373831.9885,13188772429.635,"estimate"
2008,"Mackenzie District","Canterbury",39142989.0290236,42000599.658275,9761343897.51213,10473965002.0636,"estimate"
2008,"Manawatu District","Manawatu-Wanganui",198051862.734171,213433657.140278,7281318482.87394,7846825630.15728,"estimate"
2008,"Marlborough District","Marlborough",555557808.189692,602802880.204997,12597682725.3898,13668999551.1337,"estimate"
2008,"Masterton District","Wellington",244665974.278766,264679563.569071,10500685591.3633,11359637921.4194,"estimate"
2008,"Matamata-Piako District","Waikato",368369445.80877,397084822.606749,11657260943.3155,12565975398.9477,"estimate"
2008,"Napier City","Hawke's Bay",621102654.816838,672923866.81081,10820603742.4536,11723412313.7772,"estimate"
2008,"Nelson City","Nelson",688070244.713563,746859304.106575,15222793024.6363,16523435931.5614,"estimate"
2008,"New Plymouth District","Taranaki",1022473976.3893,1106133342.25093,14122568734.6589,15278084837.72,"estimate"
2008,"Opotiki District","Bay of Plenty",61974927.2851285,66694468.5606718,6802955794.19632,7321017405.12314,"estimate"
2008,"Otorohanga District","Waikato",81688249.1008636,86460978.0102565,8793137685.77649,9306886761.06098,"estimate"
2008,"Palmerston North City","Manawatu-Wanganui",1397280788.18581,1513305237.42819,17271703191.4192,18705874381.0654,"estimate"
2008,"Porirua City","Wellington",396010636.394894,429382713.362512,7749718911.83745,8402792825.09809,"estimate"
2008,"Queenstown-Lakes District","Otago",388279590.624112,419574077.683083,14763482533.2362,15953386984.1477,"estimate"
2008,"Rangitikei District","Hawke's Bay",17883352.0962919,19366961.9564612,1200224972.9055,1299796104.46049,"estimate"
2008,"Rangitikei District","Manawatu-Wanganui",113320933.643583,122857286.091361,7605431788.15994,8245455442.37323,"estimate"
2008,"Rotorua District","Bay of Plenty",517204460.114392,557892290.842234,7605947942.8587,8204298394.73873,"estimate"
2008,"Rotorua District","Waikato",323498159.613797,348977800.439788,4757325876.67349,5132026477.05571,"estimate"
2008,"Ruapehu District","Manawatu-Wanganui",156210994.550955,167046616.705489,11614200338.3609,12419822803.3821,"estimate"
2008,"Selwyn District","Canterbury",309147532.830753,331819147.699313,8092867351.59039,8686365123.01866,"estimate"
2008,"South Taranaki District","Taranaki",389005101.40785,424792701.205289,14461156186.1654,15791550230.6799,"estimate"
2008,"South Waikato District","Waikato",226512994.0714,241323663.575609,9848391046.58261,10492333198.9395,"estimate"
2008,"South Wairarapa District","Wellington",54131357.5216581,57677561.3487795,5826841498.56384,6208564192.54893,"estimate"
2008,"Southland District","Southland",388999575.511874,419848569.737579,13276436024.2961,14329302721.4191,"estimate"
2008,"Stratford District","Manawatu-Wanganui",21309907.6082349,22895273.2304317,2341748088.81703,2515964091.25623,"estimate"
2008,"Stratford District","Taranaki",45553887.6600681,49064477.1548062,5005921720.8866,5391700786.24244,"estimate"
2008,"Tararua District","Manawatu-Wanganui",144994083.127587,156027392.072279,8168680739.58236,8790275609.70587,"estimate"
2008,"Tararua District","Wellington",2327628.77508121,2503054.42223635,131134015.497533,141017150.548527,"estimate"
2008,"Tasman District","Tasman",390486770.455204,415668435.623379,8397564956.02589,8939106142.43825,"estimate"
2008,"Taupo District","Bay of Plenty",51167415.4040415,54970561.5500277,1527385534.449,1640912285.07545,"estimate"
2008,"Taupo District","Hawke's Bay",40261390.3498701,43234609.7067662,1201832547.75732,1290585364.38108,"estimate"
2008,"Taupo District","Manawatu-Wanganui",2467149.60471801,2649422.86957766,73646256.857254,79087249.838139,"estimate"
2008,"Taupo District","Waikato",263665764.438684,283200382.566752,7870619833.99057,8453742763.18662,"estimate"
2008,"Tauranga City","Bay of Plenty",1380707509.75428,1496532398.5974,12405278614.1445,13445933500.4259,"estimate"
2008,"Thames-Coromandel District","Waikato",235636784.315357,254773362.483243,8792417325.1999,9506468749.37472,"estimate"
2008,"Timaru District","Canterbury",543714434.27895,590629505.6293,12357146233.6125,13423397855.2114,"estimate"
2008,"Upper Hutt City","Wellington",233840879.250526,251282306.782383,5831443372.83107,6266391690.33373,"estimate"
2008,"Waikato District","Waikato",320984290.337917,346806812.473552,5193920555.62972,5611760719.63676,"estimate"
2008,"Waimakariri District","Canterbury",209479710.152153,225700991.533364,4553906742.4381,4906543294.20358,"estimate"
2008,"Waimate District","Canterbury",42639899.6106737,45239025.5396969,5708152558.32311,6056094449.75863,"estimate"
2008,"Waipa District","Waikato",358071660.094263,385777373.607845,7904451657.70999,8516056812.5352,"estimate"
2008,"Wairoa District","Hawke's Bay",86885982.7991152,94685740.2744738,10174002669.6856,11087323217.1515,"estimate"
2008,"Waitaki District","Canterbury",144074474.534364,156305122.906485,6926657429.53672,7514669370.50407,"estimate"
2008,"Waitaki District","Otago",97628169.2714475,105927528.334837,4693661984.20421,5092669631.48254,"estimate"
2008,"Waitomo District","Manawatu-Wanganui",5777585.10541265,6285640.35545319,603088215.59631,656121122.698663,"estimate"
2008,"Waitomo District","Waikato",106846879.229254,116177912.04641,11153118917.4586,12127130693.7798,"estimate"
2008,"Wanganui District","Manawatu-Wanganui",464396666.932122,504057779.118175,10675785446.7154,11587535152.142,"estimate"
2008,"Wellington City","Wellington",5860025506.32344,6339182796.76841,30712921940.8985,33224228494.5933,"estimate"
2008,"Western Bay of Plenty District","Bay of Plenty",268249666.512879,289263578.747644,6082758877.84305,6559264824.20961,"estimate"
2008,"Westland District","West Coast",83449564.2659574,89894122.1729816,9636208344.79877,10380383622.7461,"estimate"
2008,"Whakatane District","Bay of Plenty",326994486.561872,352566634.807796,9533366955.15663,10278910635.7958,"estimate"
2008,"Whangarei District","Northland",920243629.872586,993516944.507436,11678218653.2054,12608083052.1248,"estimate"
2009,"Ashburton District","Canterbury",381345435.759126,404438095.397325,12883291748.6191,13663449168.8285,"estimate"
2009,"Auckland","Auckland",22164626528.2847,23566873717.0307,15590227564.384,16576544782.3244,"estimate"
2009,"Buller District","West Coast",136371693.63215,145204349.286354,13304555476.3073,14166277979.1565,"estimate"
2009,"Carterton District","Wellington",60994367.1931347,64759538.8629197,7921346388.7188,8410329722.4571,"estimate"
2009,"Central Hawke's Bay District","Hawke's Bay",128221086.830958,135434138.793371,9604575792.58112,10144879310.3649,"estimate"
2009,"Central Otago District","Otago",229880635.881931,244911651.724076,12914642465.277,13759081557.5324,"estimate"
2009,"Christchurch City","Canterbury",5827055407.58684,6197941402.12255,15651505258.0898,16647707231.0571,"estimate"
2009,"Clutha District","Otago",196114444.5604,207833852.929285,11303426199.4467,11978896422.4372,"estimate"
2009,"Dunedin City","Otago",1569163060.71144,1669845005.52889,12872543566.1316,13698482407.9483,"estimate"
2009,"Far North District","Northland",477995208.19323,508836300.051305,8101613698.19034,8624344068.66618,"estimate"
2009,"Gisborne District","Gisborne",491872699.168211,524119256.833593,10623600414.0002,11320070341.9783,"estimate"
2009,"Gore District","Southland",165374188.182033,173798028.609471,13390622524.861,14072714867.1636,"estimate"
2009,"Grey District","West Coast",200478059.955718,212847436.691676,14580222542.2341,15479813577.5765,"estimate"
2009,"Hamilton City","Waikato",2326371854.29401,2471218757.19253,16510800953.1158,17538813038.9818,"estimate"
2009,"Hastings District","Hawke's Bay",1066172367.62631,1132115220.12294,14272722458.1835,15155491567.9108,"estimate"
2009,"Hauraki District","Waikato",122958830.026937,131303745.777346,6682545110.15965,7136073140.07314,"estimate"
2009,"Horowhenua District","Manawatu-Wanganui",174772903.567159,186354497.863834,5674444921.01164,6050470709.86473,"estimate"
2009,"Hurunui District","Canterbury",74941483.6858991,80322362.362528,6721209299.18378,7203799315.02493,"estimate"
2009,"Invercargill City","Southland",715141839.46637,758542586.616835,13726330891.8689,14559358668.2694,"estimate"
2009,"Kaikoura District","Canterbury",34506042.7448714,36928795.7036442,9275817942.16973,9927095619.25918,"estimate"
2009,"Kaipara District","Northland",119523435.437857,127381370.903024,6176921728.05464,6583016584.13562,"estimate"
2009,"Kapiti Coast District","Wellington",201872859.622019,214702718.683687,4111463536.09,4372764127.97732,"estimate"
2009,"Kawerau District","Bay of Plenty",114384552.950536,120197665.518017,16410983206.6766,17245002226.4013,"estimate"
2009,"Lower Hutt City","Wellington",1254669603.32727,1334040244.24829,12385682165.126,13169202806.0048,"estimate"
2009,"Mackenzie District","Canterbury",42249204.1051742,45337949.5416601,10406207907.6784,11166982645.7291,"estimate"
2009,"Manawatu District","Manawatu-Wanganui",201932218.488528,214439407.711458,7369788995.93167,7826255755.89263,"estimate"
2009,"Marlborough District","Marlborough",578897989.725524,613960092.707461,13038243011.8361,13827930015.9338,"estimate"
2009,"Masterton District","Wellington",241928067.279669,257716021.675321,10294811373.6029,10966639220.2264,"estimate"
2009,"Matamata-Piako District","Waikato",374463630.903732,397193865.908745,11738671815.164,12451218367.0453,"estimate"
2009,"Napier City","Hawke's Bay",633985503.866031,675574605.917495,10949663279.2061,11667955197.1933,"estimate"
2009,"Nelson City","Nelson",696232897.582763,739451228.542197,15201591650.2787,16145223330.6156,"estimate"
2009,"New Plymouth District","Taranaki",1093958229.4426,1161966060.22264,14924396036.0519,15852197274.5244,"estimate"
2009,"Opotiki District","Bay of Plenty",66145930.9126891,70792786.6705054,7276780078.40364,7787985332.28882,"estimate"
2009,"Otorohanga District","Waikato",85569399.6684663,91721929.4131489,9151807451.17286,9809832022.79667,"estimate"
2009,"Palmerston North City","Manawatu-Wanganui",1440275601.79573,1533225105.34596,17672093273.5672,18812577979.7051,"estimate"
2009,"Porirua City","Wellington",409196872.576873,436105075.482909,7914833125.27801,8435301266.59398,"estimate"
2009,"Queenstown-Lakes District","Otago",392801318.563209,417922215.834405,14602279500.491,15536141852.5801,"estimate"
2009,"Rangitikei District","Hawke's Bay",17751182.8307489,18760900.9334848,1195365847.18848,1263360332.2212,"estimate"
2009,"Rangitikei District","Manawatu-Wanganui",112484052.537674,118897396.021851,7574683672.57065,8006558654.67007,"estimate"
2009,"Rotorua District","Bay of Plenty",506638828.850991,539346002.244951,7439630379.60339,7919911927.23863,"estimate"
2009,"Rotorua District","Waikato",316895373.730483,337360445.451263,4653382874.16274,4953897877.40474,"estimate"
2009,"Ruapehu District","Manawatu-Wanganui",164207120.162338,174776787.398672,12300158813.6583,13091894187.1665,"estimate"
