Measure,Industry,Region,Quarter,Value,Flags
"Total earnings","Public administration and safety","Manawatu-Wanganui","Mar-10",128426900,
"Total earnings","Public administration and safety","Taranaki","Mar-10",22160900,
"Total earnings","Administrative and support services","Otago","Mar-10",34509900,
"Total earnings","Public administration and safety","Wellington","Mar-10",527112600,
"Total earnings","Administrative and support services","Southland","Mar-10",6461300,
"Total earnings","Administrative and support services","Bay of Plenty","Mar-10",46605700,
"Total earnings","Administrative and support services","Auckland","Mar-10",290884700,
"Total earnings","Administrative and support services","Northland","Mar-10",13825300,
"Total earnings","Administrative and support services","Waikato","Mar-10",49547800,
"Total earnings","Administrative and support services","Hawke's Bay","Mar-10",22945300,
"Total earnings","Administrative and support services","Gisborne","Mar-10",6466100,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Mar-10",17160500,
"Total earnings","Administrative and support services","Taranaki","Mar-10",18334100,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-10",17818100,
"Total earnings","Administrative and support services","Wellington","Mar-10",116709800,
"Total earnings","Administrative and support services","Canterbury","Mar-10",71986300,
"Total earnings","Professional, scientific, and technical services","Auckland","Mar-10",981908600,
"Total earnings","Professional, scientific, and technical services","Northland","Mar-10",25846900,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Mar-10",67911800,
"Total earnings","Professional, scientific, and technical services","Waikato","Mar-10",137202400,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Mar-10",37562700,
"Total earnings","Professional, scientific, and technical services","Gisborne","Mar-10",9615000,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-10",53183400,
"Total earnings","Professional, scientific, and technical services","Taranaki","Mar-10",34239000,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-10",40060100,
"Total earnings","Professional, scientific, and technical services","Wellington","Mar-10",457017600,
"Total earnings","Professional, scientific, and technical services","Southland","Mar-10",20119100,
"Total earnings","Professional, scientific, and technical services","Canterbury","Mar-10",224561400,
"Total earnings","Professional, scientific, and technical services","Otago","Mar-10",57988600,
"Total earnings","Rental, hiring, and real estate services","Otago","Mar-10",11703900,
"Total earnings","Rental, hiring, and real estate services","Southland","Mar-10",3261300,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-10",9190800,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Mar-10",6112700,
"Total earnings","Rental, hiring, and real estate services","Wellington","Mar-10",25357300,
"Total earnings","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Mar-10",8599300,
"Total earnings","Rental, hiring, and real estate services","Tasman, Nelson, Marlborough, West Coast","Dec-09",8490400,
"Total earnings","Rental, hiring, and real estate services","Wellington","Dec-09",25321900,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Dec-09",6056900,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Dec-09",8730400,
"Total earnings","Rental, hiring, and real estate services","Southland","Dec-09",3656400,
"Total earnings","Rental, hiring, and real estate services","Otago","Dec-09",11999700,
"Total earnings","Professional, scientific, and technical services","Otago","Dec-09",58990300,
"Total earnings","Professional, scientific, and technical services","Canterbury","Dec-09",236645800,
"Total earnings","Professional, scientific, and technical services","Southland","Dec-09",22577600,
"Total earnings","Professional, scientific, and technical services","Wellington","Dec-09",467338400,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Dec-09",46402200,
"Total earnings","Professional, scientific, and technical services","Taranaki","Dec-09",35583000,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Dec-09",55714600,
"Total earnings","Professional, scientific, and technical services","Gisborne","Dec-09",9263400,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Dec-09",38321800,
"Total earnings","Professional, scientific, and technical services","Waikato","Dec-09",142318400,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Dec-09",70879400,
"Total earnings","Professional, scientific, and technical services","Northland","Dec-09",28848700,
"Total earnings","Professional, scientific, and technical services","Auckland","Dec-09",1005299500,
"Total earnings","Administrative and support services","Canterbury","Dec-09",73176300,
"Total earnings","Administrative and support services","Wellington","Dec-09",125922000,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Dec-09",16485000,
"Total earnings","Administrative and support services","Taranaki","Dec-09",22791100,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Dec-09",17631000,
"Total earnings","Administrative and support services","Gisborne","Dec-09",5026000,
"Total earnings","Administrative and support services","Hawke's Bay","Dec-09",16620200,
"Total earnings","Administrative and support services","Waikato","Dec-09",51399000,
"Total earnings","Administrative and support services","Northland","Dec-09",12777900,
"Total earnings","Administrative and support services","Auckland","Dec-09",304541300,
"Total earnings","Administrative and support services","Bay of Plenty","Dec-09",46069700,
"Total earnings","Administrative and support services","Southland","Dec-09",6415700,
"Total earnings","Public administration and safety","Wellington","Dec-09",467307900,
"Total earnings","Administrative and support services","Otago","Dec-09",38657500,
"Total earnings","Public administration and safety","Taranaki","Dec-09",20627500,
"Total earnings","Public administration and safety","Manawatu-Wanganui","Dec-09",129183000,
"Total earnings","Public administration and safety","Tasman, Nelson, Marlborough, West Coast","Dec-09",36922400,
"Total earnings","Public administration and safety","Gisborne","Dec-09",11659600,
"Total earnings","Public administration and safety","Bay of Plenty","Dec-09",55730300,
"Total earnings","Public administration and safety","Waikato","Dec-09",94365000,
"Total earnings","Public administration and safety","Hawke's Bay","Dec-09",36318600,
"Total earnings","Public administration and safety","Auckland","Dec-09",378461300,
"Total earnings","Public administration and safety","Northland","Dec-09",30749200,
"Total earnings","Public administration and safety","Southland","Dec-09",19858300,
"Total earnings","Public administration and safety","Otago","Dec-09",40908900,
"Total earnings","Public administration and safety","Canterbury","Dec-09",147252600,
"Total earnings","Education and training","Auckland","Dec-09",651748800,
"Total earnings","Education and training","Northland","Dec-09",55423000,
"Total earnings","Education and training","Gisborne","Dec-09",20306500,
"Total earnings","Education and training","Hawke's Bay","Dec-09",60401800,
"Total earnings","Education and training","Taranaki","Dec-09",36967000,
"Total earnings","Education and training","Manawatu-Wanganui","Dec-09",124549300,
"Total earnings","Education and training","Waikato","Dec-09",167292100,
"Total earnings","Education and training","Bay of Plenty","Dec-09",100604700,
"Total earnings","Education and training","Wellington","Dec-09",267285400,
"Total earnings","Education and training","Tasman, Nelson, Marlborough, West Coast","Dec-09",52071500,
"Total earnings","Education and training","Canterbury","Dec-09",238941700,
"Total earnings","Education and training","Canterbury","Sep-09",260698800,
"Total earnings","Education and training","Tasman, Nelson, Marlborough, West Coast","Sep-09",60448700,
"Total earnings","Education and training","Wellington","Sep-09",282128300,
"Total earnings","Education and training","Bay of Plenty","Sep-09",113595500,
"Total earnings","Education and training","Waikato","Sep-09",188199500,
"Total earnings","Education and training","Manawatu-Wanganui","Sep-09",136375600,
"Total earnings","Education and training","Taranaki","Sep-09",41952400,
"Total earnings","Education and training","Hawke's Bay","Sep-09",68993500,
"Total earnings","Education and training","Gisborne","Sep-09",22932400,
"Total earnings","Education and training","Northland","Sep-09",63708100,
"Total earnings","Education and training","Auckland","Sep-09",708559500,
"Total earnings","Public administration and safety","Canterbury","Sep-09",153120500,
"Total earnings","Public administration and safety","Otago","Sep-09",44638400,
"Total earnings","Public administration and safety","Southland","Sep-09",21925900,
"Total earnings","Public administration and safety","Northland","Sep-09",33574300,
"Total earnings","Public administration and safety","Auckland","Sep-09",401900000,
"Total earnings","Public administration and safety","Hawke's Bay","Sep-09",41687500,
"Total earnings","Public administration and safety","Waikato","Sep-09",99706300,
"Total earnings","Public administration and safety","Bay of Plenty","Sep-09",56711300,
"Total earnings","Public administration and safety","Gisborne","Sep-09",12843600,
"Total earnings","Public administration and safety","Tasman, Nelson, Marlborough, West Coast","Sep-09",37495500,
"Total earnings","Public administration and safety","Manawatu-Wanganui","Sep-09",138738100,
"Total earnings","Public administration and safety","Taranaki","Sep-09",21989100,
"Total earnings","Administrative and support services","Otago","Sep-09",33968000,
"Total earnings","Public administration and safety","Wellington","Sep-09",516337400,
"Total earnings","Administrative and support services","Southland","Sep-09",5776300,
"Total earnings","Administrative and support services","Bay of Plenty","Sep-09",56797300,
"Total earnings","Administrative and support services","Auckland","Sep-09",297539300,
"Total earnings","Administrative and support services","Northland","Sep-09",12551500,
"Total earnings","Administrative and support services","Waikato","Sep-09",49845800,
"Total earnings","Administrative and support services","Hawke's Bay","Sep-09",15598600,
"Total earnings","Administrative and support services","Gisborne","Sep-09",5070500,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Sep-09",16967500,
"Total earnings","Administrative and support services","Taranaki","Sep-09",22044100,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Sep-09",15071700,
"Total earnings","Administrative and support services","Wellington","Sep-09",127680600,
"Total earnings","Administrative and support services","Canterbury","Sep-09",69798800,
"Total earnings","Professional, scientific, and technical services","Auckland","Sep-09",1022045300,
"Total earnings","Professional, scientific, and technical services","Northland","Sep-09",29038400,
"Total earnings","Professional, scientific, and technical services","Waikato","Sep-09",146947200,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Sep-09",69954500,
"Total earnings","Professional, scientific, and technical services","Gisborne","Sep-09",9467200,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Sep-09",38131800,
"Total earnings","Professional, scientific, and technical services","Taranaki","Sep-09",37129300,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Sep-09",56068600,
"Total earnings","Professional, scientific, and technical services","Wellington","Sep-09",485206100,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Sep-09",45886800,
"Total earnings","Professional, scientific, and technical services","Southland","Sep-09",22152300,
"Total earnings","Professional, scientific, and technical services","Canterbury","Sep-09",236437900,
"Total earnings","Professional, scientific, and technical services","Otago","Sep-09",59859500,
"Total earnings","Rental, hiring, and real estate services","Otago","Sep-09",11865000,
"Total earnings","Rental, hiring, and real estate services","Southland","Sep-09",3247200,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Sep-09",8977500,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Sep-09",6199000,
"Total earnings","Rental, hiring, and real estate services","Wellington","Sep-09",25168600,
"Total earnings","Rental, hiring, and real estate services","Wellington","Jun-09",24660700,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Jun-09",6115400,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Jun-09",8106700,
"Total earnings","Rental, hiring, and real estate services","Southland","Jun-09",3700200,
"Total earnings","Rental, hiring, and real estate services","Otago","Jun-09",11980400,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Jun-09",73933900,
"Total earnings","Professional, scientific, and technical services","Gisborne","Jun-09",9376400,
"Total earnings","Professional, scientific, and technical services","Auckland","Jun-09",1001234200,
"Total earnings","Professional, scientific, and technical services","Waikato","Jun-09",145034400,
"Total earnings","Professional, scientific, and technical services","Northland","Jun-09",28570500,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Jun-09",38693900,
"Total earnings","Professional, scientific, and technical services","Taranaki","Jun-09",36966900,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Jun-09",54190400,
"Total earnings","Professional, scientific, and technical services","Wellington","Jun-09",486506600,
"Total earnings","Administrative and support services","Canterbury","Jun-09",69067800,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Jun-09",43923400,
"Total earnings","Professional, scientific, and technical services","Canterbury","Jun-09",234972100,
"Total earnings","Professional, scientific, and technical services","Otago","Jun-09",59353800,
"Total earnings","Professional, scientific, and technical services","Southland","Jun-09",22266600,
"Total earnings","Administrative and support services","Wellington","Jun-09",109027700,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Jun-09",17389700,
"Total earnings","Administrative and support services","Taranaki","Jun-09",23247200,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Jun-09",18126800,
"Total earnings","Administrative and support services","Gisborne","Jun-09",6143900,
"Total earnings","Administrative and support services","Hawke's Bay","Jun-09",24194700,
"Total earnings","Administrative and support services","Waikato","Jun-09",51188800,
"Total earnings","Administrative and support services","Northland","Jun-09",14629600,
"Total earnings","Administrative and support services","Auckland","Jun-09",299676000,
"Total earnings","Administrative and support services","Bay of Plenty","Jun-09",88851400,
"Total earnings","Administrative and support services","Southland","Jun-09",5757800,
"Total earnings","Public administration and safety","Wellington","Jun-09",501984200,
"Total earnings","Administrative and support services","Otago","Jun-09",34282900,
"Total earnings","Public administration and safety","Taranaki","Jun-09",21033400,
"Total earnings","Public administration and safety","Manawatu-Wanganui","Jun-09",122910000,
"Total earnings","Public administration and safety","Tasman, Nelson, Marlborough, West Coast","Jun-09",36388200,
"Total earnings","Public administration and safety","Gisborne","Jun-09",12922200,
"Total earnings","Public administration and safety","Bay of Plenty","Jun-09",55921200,
"Total earnings","Public administration and safety","Waikato","Jun-09",97223100,
"Total earnings","Public administration and safety","Hawke's Bay","Jun-09",40216200,
"Total earnings","Public administration and safety","Auckland","Jun-09",387639800,
"Total earnings","Public administration and safety","Northland","Jun-09",34321000,
"Total earnings","Public administration and safety","Southland","Jun-09",21820600,
"Total earnings","Public administration and safety","Otago","Jun-09",43727600,
"Total earnings","Public administration and safety","Canterbury","Jun-09",145182500,
"Total earnings","Education and training","Auckland","Jun-09",618349300,
"Total earnings","Education and training","Hawke's Bay","Jun-09",60102800,
"Total earnings","Education and training","Northland","Jun-09",54180200,
"Total earnings","Education and training","Gisborne","Jun-09",19859200,
"Total earnings","Education and training","Taranaki","Jun-09",36054400,
"Total earnings","Education and training","Manawatu-Wanganui","Jun-09",115668300,
"Total earnings","Education and training","Waikato","Jun-09",169064300,
"Total earnings","Education and training","Bay of Plenty","Jun-09",98259400,
"Total earnings","Education and training","Wellington","Jun-09",249755600,
"Total earnings","Education and training","Tasman, Nelson, Marlborough, West Coast","Jun-09",51439400,
"Total earnings","Education and training","Canterbury","Jun-09",226333600,
"Total earnings","Education and training","Canterbury","Mar-09",205984600,
"Total earnings","Education and training","Tasman, Nelson, Marlborough, West Coast","Mar-09",46787100,
"Total earnings","Education and training","Wellington","Mar-09",224892900,
"Total earnings","Education and training","Bay of Plenty","Mar-09",89258900,
"Total earnings","Education and training","Waikato","Mar-09",148883600,
"Total earnings","Education and training","Manawatu-Wanganui","Mar-09",107959300,
"Total earnings","Education and training","Taranaki","Mar-09",32626500,
"Total earnings","Education and training","Gisborne","Mar-09",17440000,
"Total earnings","Education and training","Northland","Mar-09",49180000,
"Total earnings","Education and training","Hawke's Bay","Mar-09",55056100,
"Total earnings","Education and training","Auckland","Mar-09",556407100,
"Total earnings","Public administration and safety","Canterbury","Mar-09",133360400,
"Total earnings","Public administration and safety","Otago","Mar-09",42516600,
"Total earnings","Public administration and safety","Southland","Mar-09",19706700,
"Total earnings","Public administration and safety","Northland","Mar-09",32050900,
"Total earnings","Public administration and safety","Auckland","Mar-09",357052000,
"Total earnings","Public administration and safety","Hawke's Bay","Mar-09",38045700,
"Total earnings","Public administration and safety","Waikato","Mar-09",87914100,
"Total earnings","Public administration and safety","Bay of Plenty","Mar-09",49268800,
"Total earnings","Public administration and safety","Gisborne","Mar-09",11449300,
"Total earnings","Public administration and safety","Tasman, Nelson, Marlborough, West Coast","Mar-09",31608000,
"Total earnings","Public administration and safety","Manawatu-Wanganui","Mar-09",114670100,
"Total earnings","Public administration and safety","Taranaki","Mar-09",20375300,
"Total earnings","Administrative and support services","Otago","Mar-09",37543300,
"Total earnings","Public administration and safety","Wellington","Mar-09",464006400,
"Total earnings","Administrative and support services","Southland","Mar-09",5896600,
"Total earnings","Administrative and support services","Bay of Plenty","Mar-09",39641500,
"Total earnings","Administrative and support services","Auckland","Mar-09",297118300,
"Total earnings","Administrative and support services","Northland","Mar-09",11584800,
"Total earnings","Administrative and support services","Waikato","Mar-09",51580400,
"Total earnings","Administrative and support services","Hawke's Bay","Mar-09",23003200,
"Total earnings","Administrative and support services","Gisborne","Mar-09",6138600,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Mar-09",20203900,
"Total earnings","Administrative and support services","Taranaki","Mar-09",22495100,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Mar-09",19052800,
"Total earnings","Administrative and support services","Wellington","Mar-09",110667500,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Mar-09",42406400,
"Total earnings","Professional, scientific, and technical services","Southland","Mar-09",20415700,
"Total earnings","Professional, scientific, and technical services","Otago","Mar-09",58825700,
"Total earnings","Professional, scientific, and technical services","Canterbury","Mar-09",221455400,
"Total earnings","Administrative and support services","Canterbury","Mar-09",71898000,
"Total earnings","Professional, scientific, and technical services","Wellington","Mar-09",453056300,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Mar-09",52382700,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Mar-09",37082000,
"Total earnings","Professional, scientific, and technical services","Taranaki","Mar-09",35380200,
"Total earnings","Professional, scientific, and technical services","Waikato","Mar-09",129764300,
"Total earnings","Professional, scientific, and technical services","Auckland","Mar-09",999740800,
"Total earnings","Professional, scientific, and technical services","Gisborne","Mar-09",9494600,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Mar-09",65467700,
"Total earnings","Professional, scientific, and technical services","Northland","Mar-09",27708800,
"Total earnings","Rental, hiring, and real estate services","Otago","Mar-09",11744300,
"Total earnings","Rental, hiring, and real estate services","Southland","Mar-09",3831900,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Mar-09",8503400,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Mar-09",5635800,
"Total earnings","Rental, hiring, and real estate services","Wellington","Mar-09",27457000,
"Total earnings","Rental, hiring, and real estate services","Wellington","Dec-08",28908800,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Dec-08",5900500,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Dec-08",9868200,
"Total earnings","Rental, hiring, and real estate services","Southland","Dec-08",3904200,
"Total earnings","Rental, hiring, and real estate services","Otago","Dec-08",12210300,
"Total earnings","Professional, scientific, and technical services","Northland","Dec-08",32422000,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Dec-08",78345600,
"Total earnings","Professional, scientific, and technical services","Gisborne","Dec-08",9793400,
"Total earnings","Professional, scientific, and technical services","Auckland","Dec-08",1088867000,
"Total earnings","Professional, scientific, and technical services","Waikato","Dec-08",147028800,
"Total earnings","Professional, scientific, and technical services","Taranaki","Dec-08",37127100,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Dec-08",39528500,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Dec-08",56881000,
"Total earnings","Professional, scientific, and technical services","Wellington","Dec-08",493314500,
"Total earnings","Administrative and support services","Canterbury","Dec-08",87789800,
"Total earnings","Professional, scientific, and technical services","Canterbury","Dec-08",242063400,
"Total earnings","Professional, scientific, and technical services","Otago","Dec-08",63621000,
"Total earnings","Professional, scientific, and technical services","Southland","Dec-08",22810700,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Dec-08",43211500,
"Total earnings","Administrative and support services","Wellington","Dec-08",146938800,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Dec-08",18386600,
"Total earnings","Administrative and support services","Taranaki","Dec-08",26410900,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Dec-08",22369900,
"Total earnings","Administrative and support services","Gisborne","Dec-08",5988400,
"Total earnings","Administrative and support services","Hawke's Bay","Dec-08",17873800,
"Total earnings","Administrative and support services","Waikato","Dec-08",58258200,
"Total earnings","Administrative and support services","Northland","Dec-08",13740400,
"Total earnings","Administrative and support services","Bay of Plenty","Dec-08",49818500,
"Total earnings","Administrative and support services","Auckland","Dec-08",349121400,
"Total earnings","Administrative and support services","Southland","Dec-08",6684200,
"Total earnings","Public administration and safety","Wellington","Dec-08",513296500,
"Total earnings","Administrative and support services","Otago","Dec-08",36683700,
"Total earnings","Public administration and safety","Taranaki","Dec-08",22906800,
"Total earnings","Public administration and safety","Manawatu-Wanganui","Dec-08",117602200,
"Total earnings","Public administration and safety","Tasman, Nelson, Marlborough, West Coast","Dec-08",37045700,
"Total earnings","Public administration and safety","Gisborne","Dec-08",12493900,
"Total earnings","Public administration and safety","Bay of Plenty","Dec-08",54639800,
"Total earnings","Public administration and safety","Waikato","Dec-08",98379600,
"Total earnings","Public administration and safety","Hawke's Bay","Dec-08",41358500,
"Total earnings","Public administration and safety","Auckland","Dec-08",386073000,
"Total earnings","Public administration and safety","Northland","Dec-08",37824400,
"Total earnings","Public administration and safety","Southland","Dec-08",21562700,
"Total earnings","Public administration and safety","Otago","Dec-08",47104500,
"Total earnings","Public administration and safety","Canterbury","Dec-08",146108500,
"Total earnings","Education and training","Auckland","Dec-08",684859500,
"Total earnings","Education and training","Hawke's Bay","Dec-08",70426100,
"Total earnings","Education and training","Northland","Dec-08",62502700,
"Total earnings","Education and training","Gisborne","Dec-08",22833600,
"Total earnings","Education and training","Taranaki","Dec-08",41541900,
"Total earnings","Education and training","Manawatu-Wanganui","Dec-08",134516100,
"Total earnings","Education and training","Waikato","Dec-08",186642300,
"Total earnings","Education and training","Bay of Plenty","Dec-08",111426300,
"Total earnings","Education and training","Wellington","Dec-08",283656600,
"Total earnings","Education and training","Tasman, Nelson, Marlborough, West Coast","Dec-08",60476900,
"Total earnings","Education and training","Canterbury","Dec-08",256486200,
"Total earnings","Education and training","Canterbury","Sep-08",242530500,
"Total earnings","Education and training","Tasman, Nelson, Marlborough, West Coast","Sep-08",57097000,
"Total earnings","Education and training","Wellington","Sep-08",264042900,
"Total earnings","Education and training","Bay of Plenty","Sep-08",106175300,
"Total earnings","Education and training","Waikato","Sep-08",175240500,
"Total earnings","Education and training","Manawatu-Wanganui","Sep-08",128914800,
"Total earnings","Education and training","Taranaki","Sep-08",39722700,
"Total earnings","Education and training","Gisborne","Sep-08",21605000,
"Total earnings","Education and training","Northland","Sep-08",60379400,
"Total earnings","Education and training","Hawke's Bay","Sep-08",68034100,
"Total earnings","Education and training","Auckland","Sep-08",661567500,
"Total earnings","Public administration and safety","Canterbury","Sep-08",132055100,
"Total earnings","Public administration and safety","Otago","Sep-08",41234200,
"Total earnings","Public administration and safety","Southland","Sep-08",18868600,
"Total earnings","Public administration and safety","Northland","Sep-08",33812100,
"Total earnings","Public administration and safety","Auckland","Sep-08",349112800,
"Total earnings","Public administration and safety","Hawke's Bay","Sep-08",37110900,
"Total earnings","Public administration and safety","Waikato","Sep-08",87708900,
"Total earnings","Public administration and safety","Bay of Plenty","Sep-08",49419200,
"Total earnings","Public administration and safety","Gisborne","Sep-08",10927600,
"Total earnings","Public administration and safety","Tasman, Nelson, Marlborough, West Coast","Sep-08",34623800,
"Total earnings","Public administration and safety","Manawatu-Wanganui","Sep-08",109877200,
"Total earnings","Public administration and safety","Taranaki","Sep-08",20132900,
"Total earnings","Administrative and support services","Otago","Sep-08",34264700,
"Total earnings","Public administration and safety","Wellington","Sep-08",451739200,
"Total earnings","Administrative and support services","Southland","Sep-08",6211100,
"Total earnings","Administrative and support services","Auckland","Sep-08",337401200,
"Total earnings","Administrative and support services","Bay of Plenty","Sep-08",59608500,
"Total earnings","Administrative and support services","Northland","Sep-08",12533700,
"Total earnings","Administrative and support services","Waikato","Sep-08",61544500,
"Total earnings","Administrative and support services","Hawke's Bay","Sep-08",15469500,
"Total earnings","Administrative and support services","Gisborne","Sep-08",5315900,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Sep-08",19667400,
"Total earnings","Administrative and support services","Taranaki","Sep-08",24975300,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Sep-08",17292900,
"Total earnings","Administrative and support services","Wellington","Sep-08",140530500,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Sep-08",39099300,
"Total earnings","Professional, scientific, and technical services","Southland","Sep-08",21398700,
"Total earnings","Professional, scientific, and technical services","Otago","Sep-08",61479400,
"Total earnings","Professional, scientific, and technical services","Canterbury","Sep-08",227519700,
"Total earnings","Administrative and support services","Canterbury","Sep-08",81453700,
"Total earnings","Professional, scientific, and technical services","Wellington","Sep-08",484196000,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Sep-08",55099400,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Sep-08",40026900,
"Total earnings","Professional, scientific, and technical services","Taranaki","Sep-08",36707500,
"Total earnings","Professional, scientific, and technical services","Waikato","Sep-08",139192300,
"Total earnings","Professional, scientific, and technical services","Auckland","Sep-08",1080983300,
"Total earnings","Professional, scientific, and technical services","Gisborne","Sep-08",8827300,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Sep-08",73511000,
"Total earnings","Professional, scientific, and technical services","Northland","Sep-08",32224300,
"Total earnings","Rental, hiring, and real estate services","Otago","Sep-08",11662800,
"Total earnings","Rental, hiring, and real estate services","Southland","Sep-08",3691500,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Sep-08",9316300,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Sep-08",5846600,
"Total earnings","Rental, hiring, and real estate services","Wellington","Sep-08",28704100,
"Total earnings","Rental, hiring, and real estate services","Wellington","Jun-08",29027000,
"Total earnings","Rental, hiring, and real estate services","Taranaki","Jun-08",5757000,
"Total earnings","Rental, hiring, and real estate services","Manawatu-Wanganui","Jun-08",9472900,
"Total earnings","Rental, hiring, and real estate services","Southland","Jun-08",3613100,
"Total earnings","Rental, hiring, and real estate services","Otago","Jun-08",11393100,
"Total earnings","Professional, scientific, and technical services","Northland","Jun-08",32708200,
"Total earnings","Professional, scientific, and technical services","Bay of Plenty","Jun-08",74740500,
"Total earnings","Professional, scientific, and technical services","Gisborne","Jun-08",9099500,
"Total earnings","Professional, scientific, and technical services","Auckland","Jun-08",1054743200,
"Total earnings","Professional, scientific, and technical services","Waikato","Jun-08",140126400,
"Total earnings","Professional, scientific, and technical services","Taranaki","Jun-08",34376700,
"Total earnings","Professional, scientific, and technical services","Hawke's Bay","Jun-08",39227900,
"Total earnings","Professional, scientific, and technical services","Manawatu-Wanganui","Jun-08",53177200,
"Total earnings","Professional, scientific, and technical services","Wellington","Jun-08",468229400,
"Total earnings","Administrative and support services","Canterbury","Jun-08",86784200,
"Total earnings","Professional, scientific, and technical services","Canterbury","Jun-08",226197900,
"Total earnings","Professional, scientific, and technical services","Otago","Jun-08",61289300,
"Total earnings","Professional, scientific, and technical services","Southland","Jun-08",20813800,
"Total earnings","Professional, scientific, and technical services","Tasman, Nelson, Marlborough, West Coast","Jun-08",39264600,
"Total earnings","Administrative and support services","Wellington","Jun-08",137870700,
"Total earnings","Administrative and support services","Tasman, Nelson, Marlborough, West Coast","Jun-08",20755700,
"Total earnings","Administrative and support services","Taranaki","Jun-08",24940700,
"Total earnings","Administrative and support services","Manawatu-Wanganui","Jun-08",21996000,
"Total earnings","Administrative and support services","Gisborne","Jun-08",6330800,
"Total earnings","Administrative and support services","Hawke's Bay","Jun-08",23423600,
"Total earnings","Administrative and support services","Waikato","Jun-08",60291200,
"Total earnings","Administrative and support services","Northland","Jun-08",15562300,
"Total earnings","Administrative and support services","Bay of Plenty","Jun-08",83757600,
"Total earnings","Administrative and support services","Auckland","Jun-08",347456500,
"Total earnings","Administrative and support services","Southland","Jun-08",6394300,
"Total earnings","Public administration and safety","Wellington","Jun-08",478978700,
"Total earnings","Administrative and support services","Otago","Jun-08",34985300,
"Total earnings","Public administration and safety","Taranaki","Jun-08",20571900,
"Total earnings","Public administration and safety","Manawatu-Wanganui","Jun-08",105138700,
