Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Grey district","Jun-02",40426000,
"Total earnings","Kaikoura district","Jun-02",6960500,
"Total earnings","Buller district","Jun-02",21378200,
"Total earnings","Nelson city","Jun-02",153329400,
"Total earnings","Marlborough district","Jun-02",110989200,
"Total earnings","South Wairarapa district","Jun-02",13493800,
"Total earnings","Tasman district","Jun-02",98041700,
"Total earnings","Carterton district","Jun-02",15560300,
"Total earnings","Lower Hutt city","Jun-02",335129900,
"Total earnings","Wellington city","Jun-02",1241688100,
"Total earnings","Masterton district","Jun-02",59443500,
"Total earnings","Upper Hutt city","Jun-02",79209600,
"Total earnings","Porirua city","Jun-02",99987600,
"Total earnings","Kapiti Coast district","Jun-02",60582100,
"Total earnings","Palmerston North city","Jun-02",290962300,
"Total earnings","Horowhenua district","Jun-02",54347100,
"Total earnings","Tararua district","Jun-02",39615300,
"Total earnings","Rangitikei district (modified)","Jun-02",30298600,
"Total earnings","Manawatu district","Jun-02",52239700,
"Total earnings","Wanganui district","Jun-02",113427900,
"Total earnings","Stratford district","Jun-02",16131000,
"Total earnings","South Taranaki district","Jun-02",94791900,
"Total earnings","Ruapehu district (modified)","Jun-02",40085700,
"Total earnings","Napier city","Jun-02",145812900,
"Total earnings","New Plymouth district","Jun-02",207211900,
"Total earnings","Central Hawke's Bay district","Jun-02",38580400,
"Total earnings","Gisborne district","Jun-02",110740900,
"Total earnings","Hastings district (modified)","Jun-02",222796000,
"Total earnings","Wairoa district","Jun-02",22488200,
"Total earnings","Rodney district","Jun-02",121693600,
"Total earnings","Kaipara district","Jun-02",28272800,
"Total earnings","Whangarei district","Jun-02",188717200,
"Total earnings","North Shore city","Jun-02",600883400,
"Total earnings","Waitakere city","Jun-02",310700000,
"Total earnings","Auckland city","Jun-02",2720843300,
"Total earnings","Manukau city","Jun-02",903765900,
"Total earnings","Papakura district","Jun-02",108509600,
"Total earnings","Thames-Coromandel district","Jun-02",52755900,
"Total earnings","Franklin district","Jun-02",119036600,
"Total earnings","Hauraki district","Jun-02",30474600,
"Total earnings","Waikato district","Jun-02",75191600,
"Total earnings","Matamata-Piako district","Jun-02",80837800,
"Total earnings","Hamilton city","Jun-02",482379400,
"Total earnings","Otorohanga district","Jun-02",20370600,
"Total earnings","Waipa district","Jun-02",84962000,
"Total earnings","South Waikato district","Jun-02",74004500,
"Total earnings","Waitomo district (modified)","Jun-02",25706900,
"Total earnings","Taupo district (modified)","Jun-02",80164600,
"Total earnings","Western Bay of Plenty district","Jun-02",71826800,
"Total earnings","Rotorua district","Jun-02",200414600,
"Total earnings","Tauranga city","Jun-02",279344200,
"Total earnings","Whakatane district (modified)","Jun-02",75623200,
"Total earnings","Kawerau district","Jun-02",36982300,
"Total earnings","Opotiki district","Jun-02",14427700,
"Total earnings","Opotiki district","Mar-02",12665100,
"Total earnings","Kawerau district","Mar-02",36668900,
"Total earnings","Whakatane district (modified)","Mar-02",69771400,
"Total earnings","Tauranga city","Mar-02",261427200,
"Total earnings","Rotorua district","Mar-02",193573900,
"Total earnings","Western Bay of Plenty district","Mar-02",56181800,
"Total earnings","Taupo district (modified)","Mar-02",78923000,
"Total earnings","Waitomo district (modified)","Mar-02",25160400,
"Total earnings","South Waikato district","Mar-02",69660600,
"Total earnings","Waipa district","Mar-02",81848800,
"Total earnings","Otorohanga district","Mar-02",19902900,
"Total earnings","Hamilton city","Mar-02",451193300,
"Total earnings","Matamata-Piako district","Mar-02",76831100,
"Total earnings","Waikato district","Mar-02",74562500,
"Total earnings","Hauraki district","Mar-02",28311100,
"Total earnings","Franklin district","Mar-02",117266800,
"Total earnings","Thames-Coromandel district","Mar-02",51831600,
"Total earnings","Papakura district","Mar-02",101269800,
"Total earnings","Manukau city","Mar-02",862370700,
"Total earnings","Auckland city","Mar-02",2655605900,
"Total earnings","Waitakere city","Mar-02",289286000,
"Total earnings","Whangarei district","Mar-02",176425200,
"Total earnings","Kaipara district","Mar-02",26492900,
"Total earnings","Rodney district","Mar-02",115342700,
"Total earnings","North Shore city","Mar-02",569866600,
"Total earnings","Wairoa district","Mar-02",20960600,
"Total earnings","Hastings district (modified)","Mar-02",219274900,
"Total earnings","Gisborne district","Mar-02",108677000,
"Total earnings","Central Hawke's Bay district","Mar-02",37464800,
"Total earnings","New Plymouth district","Mar-02",200486900,
"Total earnings","Napier city","Mar-02",140105100,
"Total earnings","Ruapehu district (modified)","Mar-02",37943500,
"Total earnings","South Taranaki district","Mar-02",88268900,
"Total earnings","Stratford district","Mar-02",14919400,
"Total earnings","Wanganui district","Mar-02",110941400,
"Total earnings","Manawatu district","Mar-02",52024000,
"Total earnings","Rangitikei district (modified)","Mar-02",30084200,
"Total earnings","Tararua district","Mar-02",38420100,
"Total earnings","Horowhenua district","Mar-02",51575200,
"Total earnings","Palmerston North city","Mar-02",272294500,
"Total earnings","Kapiti Coast district","Mar-02",58618300,
"Total earnings","Porirua city","Mar-02",97496300,
"Total earnings","Upper Hutt city","Mar-02",77367700,
"Total earnings","Masterton district","Mar-02",56528600,
"Total earnings","Wellington city","Mar-02",1253022900,
"Total earnings","Lower Hutt city","Mar-02",325729300,
"Total earnings","Carterton district","Mar-02",14692600,
"Total earnings","Tasman district","Mar-02",94206300,
"Total earnings","South Wairarapa district","Mar-02",13447000,
"Total earnings","Marlborough district","Mar-02",105629700,
"Total earnings","Kaikoura district","Mar-02",7701900,
"Total earnings","Nelson city","Mar-02",142283200,
"Total earnings","Buller district","Mar-02",21231700,
"Total earnings","Grey district","Mar-02",37312700,
"Total earnings","Westland district","Mar-02",20226400,
"Total earnings","Waimakariri district","Mar-02",47487800,
"Total earnings","Hurunui district","Mar-02",16159700,
"Total earnings","Christchurch city (modified)","Mar-02",1192663400,
"Total earnings","Selwyn district","Mar-02",65219900,
"Total earnings","Ashburton district","Mar-02",77440900,
"Total earnings","Mackenzie district","Mar-02",8997500,
"Total earnings","Timaru district","Mar-02",118141800,
"Total earnings","Waimate district","Mar-02",10935000,
"Total earnings","Central Otago district","Mar-02",40671700,
"Total earnings","Waitaki district","Mar-02",52120700,
"Total earnings","Queenstown-Lakes district","Mar-02",66875100,
"Total earnings","Dunedin city","Mar-02",346985100,
"Total earnings","Clutha district","Mar-02",48554300,
"Total earnings","Southland district","Mar-02",95149600,
"Total earnings","Gore district","Mar-02",41634600,
"Total earnings","Invercargill city","Mar-02",157452700,
"Total earnings","Invercargill city","Dec-01",167119100,
"Total earnings","Gore district","Dec-01",38610100,
"Total earnings","Southland district","Dec-01",87499000,
"Total earnings","Clutha district","Dec-01",44852400,
"Total earnings","Dunedin city","Dec-01",369859600,
"Total earnings","Queenstown-Lakes district","Dec-01",63320100,
"Total earnings","Waitaki district","Dec-01",52396300,
"Total earnings","Central Otago district","Dec-01",39681500,
"Total earnings","Waimate district","Dec-01",11589200,
"Total earnings","Timaru district","Dec-01",117604700,
"Total earnings","Mackenzie district","Dec-01",8866600,
"Total earnings","Ashburton district","Dec-01",76860900,
"Total earnings","Selwyn district","Dec-01",67743300,
"Total earnings","Hurunui district","Dec-01",16577500,
"Total earnings","Waimakariri district","Dec-01",52117000,
"Total earnings","Christchurch city (modified)","Dec-01",1273613700,
"Total earnings","Westland district","Dec-01",20652100,
"Total earnings","Grey district","Dec-01",38797000,
"Total earnings","Buller district","Dec-01",22624300,
"Total earnings","Nelson city","Dec-01",149903700,
"Total earnings","Kaikoura district","Dec-01",7948900,
"Total earnings","Marlborough district","Dec-01",110011600,
"Total earnings","South Wairarapa district","Dec-01",14526700,
"Total earnings","Tasman district","Dec-01",90391300,
"Total earnings","Carterton district","Dec-01",16117700,
"Total earnings","Lower Hutt city","Dec-01",353663100,
"Total earnings","Wellington city","Dec-01",1319947900,
"Total earnings","Masterton district","Dec-01",61214000,
"Total earnings","Upper Hutt city","Dec-01",83566500,
"Total earnings","Porirua city","Dec-01",101399800,
"Total earnings","Kapiti Coast district","Dec-01",61486200,
"Total earnings","Palmerston North city","Dec-01",296872600,
"Total earnings","Horowhenua district","Dec-01",56568100,
"Total earnings","Tararua district","Dec-01",38992300,
"Total earnings","Rangitikei district (modified)","Dec-01",30371000,
"Total earnings","Manawatu district","Dec-01",58494100,
"Total earnings","Wanganui district","Dec-01",117667700,
"Total earnings","Stratford district","Dec-01",15895600,
"Total earnings","South Taranaki district","Dec-01",89838000,
"Total earnings","Ruapehu district (modified)","Dec-01",41003600,
"Total earnings","Napier city","Dec-01",149298700,
"Total earnings","New Plymouth district","Dec-01",205611500,
"Total earnings","Central Hawke's Bay district","Dec-01",37416400,
"Total earnings","Gisborne district","Dec-01",114731100,
"Total earnings","Hastings district (modified)","Dec-01",210155200,
"Total earnings","Wairoa district","Dec-01",22110300,
"Total earnings","North Shore city","Dec-01",607870900,
"Total earnings","Rodney district","Dec-01",124590600,
"Total earnings","Kaipara district","Dec-01",28760100,
"Total earnings","Whangarei district","Dec-01",187089100,
"Total earnings","Waitakere city","Dec-01",324009500,
"Total earnings","Auckland city","Dec-01",2760940300,
"Total earnings","Manukau city","Dec-01",941459900,
"Total earnings","Papakura district","Dec-01",110134500,
"Total earnings","Thames-Coromandel district","Dec-01",54100300,
"Total earnings","Franklin district","Dec-01",123672700,
"Total earnings","Hauraki district","Dec-01",30803800,
"Total earnings","Waikato district","Dec-01",82650800,
"Total earnings","Matamata-Piako district","Dec-01",83219100,
"Total earnings","Hamilton city","Dec-01",485107800,
"Total earnings","Otorohanga district","Dec-01",21508400,
"Total earnings","Waipa district","Dec-01",86442200,
"Total earnings","South Waikato district","Dec-01",77912200,
"Total earnings","Waitomo district (modified)","Dec-01",26415800,
"Total earnings","Taupo district (modified)","Dec-01",84529300,
"Total earnings","Western Bay of Plenty district","Dec-01",60928400,
"Total earnings","Rotorua district","Dec-01",205533400,
"Total earnings","Tauranga city","Dec-01",274042300,
"Total earnings","Whakatane district (modified)","Dec-01",74986300,
"Total earnings","Kawerau district","Dec-01",36987900,
"Total earnings","Opotiki district","Dec-01",13892100,
"Total earnings","Opotiki district","Sep-01",13194200,
"Total earnings","Kawerau district","Sep-01",38600600,
"Total earnings","Whakatane district (modified)","Sep-01",69784500,
"Total earnings","Tauranga city","Sep-01",259233000,
"Total earnings","Rotorua district","Sep-01",192991600,
"Total earnings","Western Bay of Plenty district","Sep-01",59869400,
"Total earnings","Taupo district (modified)","Sep-01",79402300,
"Total earnings","Waitomo district (modified)","Sep-01",23524300,
"Total earnings","South Waikato district","Sep-01",73067100,
"Total earnings","Waipa district","Sep-01",78386000,
"Total earnings","Otorohanga district","Sep-01",19645300,
"Total earnings","Hamilton city","Sep-01",459660000,
"Total earnings","Matamata-Piako district","Sep-01",75153100,
"Total earnings","Waikato district","Sep-01",69325100,
"Total earnings","Hauraki district","Sep-01",28643100,
"Total earnings","Franklin district","Sep-01",112989600,
"Total earnings","Thames-Coromandel district","Sep-01",48857000,
"Total earnings","Papakura district","Sep-01",100994400,
"Total earnings","Manukau city","Sep-01",879155800,
"Total earnings","Auckland city","Sep-01",2624416200,
"Total earnings","Waitakere city","Sep-01",292676900,
"Total earnings","Whangarei district","Sep-01",172962500,
"Total earnings","Kaipara district","Sep-01",25197900,
"Total earnings","Rodney district","Sep-01",113745500,
"Total earnings","North Shore city","Sep-01",566705900,
"Total earnings","Wairoa district","Sep-01",19460700,
"Total earnings","Hastings district (modified)","Sep-01",189939400,
"Total earnings","Gisborne district","Sep-01",104368300,
"Total earnings","Central Hawke's Bay district","Sep-01",33167900,
"Total earnings","New Plymouth district","Sep-01",191274000,
"Total earnings","Napier city","Sep-01",136925600,
"Total earnings","Ruapehu district (modified)","Sep-01",41236700,
"Total earnings","South Taranaki district","Sep-01",82177800,
"Total earnings","Stratford district","Sep-01",14649100,
"Total earnings","Wanganui district","Sep-01",109477100,
"Total earnings","Manawatu district","Sep-01",50724500,
"Total earnings","Rangitikei district (modified)","Sep-01",27430500,
"Total earnings","Tararua district","Sep-01",35265300,
"Total earnings","Horowhenua district","Sep-01",51543000,
"Total earnings","Palmerston North city","Sep-01",273220000,
"Total earnings","Kapiti Coast district","Sep-01",56774200,
"Total earnings","Porirua city","Sep-01",98351300,
"Total earnings","Upper Hutt city","Sep-01",84013300,
"Total earnings","Masterton district","Sep-01",56524700,
"Total earnings","Wellington city","Sep-01",1294367700,
"Total earnings","Lower Hutt city","Sep-01",339979200,
"Total earnings","Carterton district","Sep-01",14225100,
"Total earnings","Tasman district","Sep-01",81506300,
"Total earnings","South Wairarapa district","Sep-01",12743700,
"Total earnings","Marlborough district","Sep-01",100767900,
"Total earnings","Kaikoura district","Sep-01",6758000,
"Total earnings","Nelson city","Sep-01",151837500,
"Total earnings","Buller district","Sep-01",20956700,
"Total earnings","Grey district","Sep-01",36452000,
"Total earnings","Westland district","Sep-01",17936300,
"Total earnings","Christchurch city (modified)","Sep-01",1199025100,
"Total earnings","Waimakariri district","Sep-01",46851100,
"Total earnings","Hurunui district","Sep-01",15134500,
"Total earnings","Selwyn district","Sep-01",62909100,
"Total earnings","Ashburton district","Sep-01",71324200,
"Total earnings","Mackenzie district","Sep-01",8229100,
"Total earnings","Timaru district","Sep-01",111202800,
"Total earnings","Waimate district","Sep-01",10436400,
"Total earnings","Waitaki district","Sep-01",45704600,
"Total earnings","Central Otago district","Sep-01",35901300,
"Total earnings","Queenstown-Lakes district","Sep-01",63903800,
"Total earnings","Dunedin city","Sep-01",346742900,
"Total earnings","Clutha district","Sep-01",41069600,
"Total earnings","Southland district","Sep-01",75016400,
"Total earnings","Gore district","Sep-01",34984700,
"Total earnings","Invercargill city","Sep-01",155552600,
"Total earnings","Invercargill city","Jun-01",159080000,
"Total earnings","Southland district","Jun-01",83084600,
"Total earnings","Gore district","Jun-01",40501800,
"Total earnings","Clutha district","Jun-01",43477200,
"Total earnings","Dunedin city","Jun-01",344116000,
"Total earnings","Queenstown-Lakes district","Jun-01",55208900,
"Total earnings","Central Otago district","Jun-01",33772900,
"Total earnings","Waitaki district","Jun-01",51377900,
"Total earnings","Waimate district","Jun-01",9378100,
"Total earnings","Timaru district","Jun-01",112007500,
"Total earnings","Mackenzie district","Jun-01",7628900,
"Total earnings","Ashburton district","Jun-01",73820400,
"Total earnings","Selwyn district","Jun-01",60583500,
"Total earnings","Hurunui district","Jun-01",14511300,
"Total earnings","Waimakariri district","Jun-01",45386500,
"Total earnings","Christchurch city (modified)","Jun-01",1174606300,
"Total earnings","Westland district","Jun-01",17414700,
"Total earnings","Grey district","Jun-01",36847300,
"Total earnings","Buller district","Jun-01",22248300,
"Total earnings","Nelson city","Jun-01",144186000,
"Total earnings","Kaikoura district","Jun-01",6753600,
"Total earnings","Marlborough district","Jun-01",101396400,
"Total earnings","South Wairarapa district","Jun-01",13023900,
"Total earnings","Tasman district","Jun-01",86033500,
"Total earnings","Carterton district","Jun-01",14414700,
"Total earnings","Lower Hutt city","Jun-01",337390300,
"Total earnings","Wellington city","Jun-01",1211024100,
"Total earnings","Masterton district","Jun-01",55890100,
"Total earnings","Upper Hutt city","Jun-01",80229900,
"Total earnings","Porirua city","Jun-01",93965600,
"Total earnings","Kapiti Coast district","Jun-01",56230400,
"Total earnings","Palmerston North city","Jun-01",277564200,
"Total earnings","Horowhenua district","Jun-01",52567500,
"Total earnings","Tararua district","Jun-01",35917100,
"Total earnings","Rangitikei district (modified)","Jun-01",27648500,
"Total earnings","Manawatu district","Jun-01",51590200,
"Total earnings","Wanganui district","Jun-01",110745800,
"Total earnings","Stratford district","Jun-01",14830300,
"Total earnings","South Taranaki district","Jun-01",83640500,
"Total earnings","Ruapehu district (modified)","Jun-01",37613700,
"Total earnings","Napier city","Jun-01",141408200,
"Total earnings","Central Hawke's Bay district","Jun-01",36649800,
"Total earnings","New Plymouth district","Jun-01",191407800,
"Total earnings","Gisborne district","Jun-01",105495100,
"Total earnings","Hastings district (modified)","Jun-01",203377300,
"Total earnings","Wairoa district","Jun-01",20308500,
"Total earnings","North Shore city","Jun-01",559285400,
"Total earnings","Rodney district","Jun-01",113176900,
"Total earnings","Kaipara district","Jun-01",26834700,
"Total earnings","Whangarei district","Jun-01",172148300,
"Total earnings","Waitakere city","Jun-01",293534800,
"Total earnings","Auckland city","Jun-01",2566333100,
"Total earnings","Manukau city","Jun-01",863497900,
"Total earnings","Papakura district","Jun-01",99225900,
"Total earnings","Thames-Coromandel district","Jun-01",47317100,
"Total earnings","Franklin district","Jun-01",113730600,
"Total earnings","Hauraki district","Jun-01",28925500,
"Total earnings","Waikato district","Jun-01",66932000,
"Total earnings","Matamata-Piako district","Jun-01",74172600,
"Total earnings","Hamilton city","Jun-01",444635400,
"Total earnings","Otorohanga district","Jun-01",19016600,
"Total earnings","Waipa district","Jun-01",75284800,
"Total earnings","South Waikato district","Jun-01",66777200,
"Total earnings","Waitomo district (modified)","Jun-01",24383000,
"Total earnings","Taupo district (modified)","Jun-01",75698900,
"Total earnings","Western Bay of Plenty district","Jun-01",67907000,
"Total earnings","Rotorua district","Jun-01",184541900,
"Total earnings","Tauranga city","Jun-01",254561900,
"Total earnings","Whakatane district (modified)","Jun-01",67622300,
"Total earnings","Kawerau district","Jun-01",35422800,
"Total earnings","Opotiki district","Jun-01",14119500,
"Total earnings","Opotiki district","Mar-01",12163400,
"Total earnings","Whakatane district (modified)","Mar-01",63005500,
"Total earnings","Kawerau district","Mar-01",35041800,
"Total earnings","Tauranga city","Mar-01",241203400,
"Total earnings","Rotorua district","Mar-01",176318600,
"Total earnings","Western Bay of Plenty district","Mar-01",52811600,
"Total earnings","Taupo district (modified)","Mar-01",73643100,
"Total earnings","Waitomo district (modified)","Mar-01",22998500,
"Total earnings","South Waikato district","Mar-01",61996800,
"Total earnings","Waipa district","Mar-01",73098600,
"Total earnings","Otorohanga district","Mar-01",16991500,
"Total earnings","Hamilton city","Mar-01",421223000,
"Total earnings","Matamata-Piako district","Mar-01",69809800,
"Total earnings","Waikato district","Mar-01",64918900,
"Total earnings","Hauraki district","Mar-01",26437800,
"Total earnings","Franklin district","Mar-01",113103000,
"Total earnings","Thames-Coromandel district","Mar-01",45590800,
"Total earnings","Papakura district","Mar-01",93491600,
"Total earnings","Manukau city","Mar-01",829011500,
"Total earnings","Auckland city","Mar-01",2545579400,
"Total earnings","Waitakere city","Mar-01",275319500,
"Total earnings","Whangarei district","Mar-01",160760400,
"Total earnings","Kaipara district","Mar-01",24568600,
"Total earnings","Rodney district","Mar-01",110488600,
"Total earnings","North Shore city","Mar-01",546624600,
"Total earnings","Wairoa district","Mar-01",19245500,
"Total earnings","Hastings district (modified)","Mar-01",192494600,
"Total earnings","Gisborne district","Mar-01",103192000,
"Total earnings","New Plymouth district","Mar-01",181757800,
"Total earnings","Central Hawke's Bay district","Mar-01",34924000,
"Total earnings","Napier city","Mar-01",138895600,
"Total earnings","Ruapehu district (modified)","Mar-01",35093800,
"Total earnings","South Taranaki district","Mar-01",79742400,
"Total earnings","Stratford district","Mar-01",13593900,
"Total earnings","Wanganui district","Mar-01",106636400,
"Total earnings","Manawatu district","Mar-01",49393800,
"Total earnings","Rangitikei district (modified)","Mar-01",27878000,
"Total earnings","Tararua district","Mar-01",35541600,
"Total earnings","Horowhenua district","Mar-01",48749600,
"Total earnings","Palmerston North city","Mar-01",261218600,
"Total earnings","Kapiti Coast district","Mar-01",54083100,
"Total earnings","Porirua city","Mar-01",89792800,
"Total earnings","Upper Hutt city","Mar-01",74913600,
"Total earnings","Masterton district","Mar-01",53603600,
"Total earnings","Wellington city","Mar-01",1219944300,
"Total earnings","Lower Hutt city","Mar-01",322805000,
"Total earnings","Carterton district","Mar-01",13629200,
"Total earnings","Tasman district","Mar-01",83331100,
"Total earnings","South Wairarapa district","Mar-01",12620000,
"Total earnings","Marlborough district","Mar-01",97638100,
"Total earnings","Kaikoura district","Mar-01",7058600,
"Total earnings","Nelson city","Mar-01",133924900,
"Total earnings","Buller district","Mar-01",20771100,
"Total earnings","Grey district","Mar-01",35916900,
"Total earnings","Westland district","Mar-01",18920300,
"Total earnings","Christchurch city (modified)","Mar-01",1124777700,
"Total earnings","Waimakariri district","Mar-01",43843900,
"Total earnings","Hurunui district","Mar-01",14371400,
"Total earnings","Selwyn district","Mar-01",58610900,
"Total earnings","Ashburton district","Mar-01",72721400,
"Total earnings","Mackenzie district","Mar-01",8677800,
"Total earnings","Timaru district","Mar-01",110419900,
"Total earnings","Waimate district","Mar-01",9643500,
"Total earnings","Waitaki district","Mar-01",50931900,
"Total earnings","Central Otago district","Mar-01",35803700,
"Total earnings","Queenstown-Lakes district","Mar-01",56045900,
"Total earnings","Dunedin city","Mar-01",323360900,
"Total earnings","Clutha district","Mar-01",44229500,
"Total earnings","Gore district","Mar-01",40328000,
"Total earnings","Southland district","Mar-01",89684700,
"Total earnings","Invercargill city","Mar-01",146093700,
"Total earnings","Invercargill city","Dec-00",158831800,
"Total earnings","Southland district","Dec-00",74805700,
"Total earnings","Gore district","Dec-00",34145900,
"Total earnings","Clutha district","Dec-00",40469200,
"Total earnings","Dunedin city","Dec-00",344433400,
"Total earnings","Queenstown-Lakes district","Dec-00",54351100,
"Total earnings","Central Otago district","Dec-00",34580300,
"Total earnings","Waitaki district","Dec-00",46758500,
"Total earnings","Waimate district","Dec-00",10247700,
"Total earnings","Timaru district","Dec-00",108486900,
"Total earnings","Mackenzie district","Dec-00",8915200,
"Total earnings","Ashburton district","Dec-00",70386200,
"Total earnings","Selwyn district","Dec-00",58689400,
"Total earnings","Hurunui district","Dec-00",14182400,
"Total earnings","Waimakariri district","Dec-00",48091700,
"Total earnings","Christchurch city (modified)","Dec-00",1204335800,
"Total earnings","Westland district","Dec-00",19213200,
"Total earnings","Grey district","Dec-00",36606300,
"Total earnings","Buller district","Dec-00",20757400,
"Total earnings","Nelson city","Dec-00",141591200,
"Total earnings","Kaikoura district","Dec-00",6656800,
"Total earnings","Marlborough district","Dec-00",101419100,
"Total earnings","South Wairarapa district","Dec-00",12986000,
"Total earnings","Tasman district","Dec-00",79373100,
"Total earnings","Carterton district","Dec-00",14637100,
"Total earnings","Lower Hutt city","Dec-00",344258500,
"Total earnings","Wellington city","Dec-00",1254248900,
"Total earnings","Masterton district","Dec-00",56418000,
"Total earnings","Upper Hutt city","Dec-00",77636500,
"Total earnings","Porirua city","Dec-00",97178300,
"Total earnings","Kapiti Coast district","Dec-00",56788700,
"Total earnings","Palmerston North city","Dec-00",286012300,
"Total earnings","Horowhenua district","Dec-00",53667200,
"Total earnings","Tararua district","Dec-00",36990800,
"Total earnings","Rangitikei district (modified)","Dec-00",28215600,
"Total earnings","Manawatu district","Dec-00",53049500,
"Total earnings","Wanganui district","Dec-00",112735900,
"Total earnings","Stratford district","Dec-00",14712500,
"Total earnings","South Taranaki district","Dec-00",84671000,
"Total earnings","Ruapehu district (modified)","Dec-00",39721400,
"Total earnings","Napier city","Dec-00",152488400,
"Total earnings","Central Hawke's Bay district","Dec-00",33442400,
"Total earnings","New Plymouth district","Dec-00",192374300,
"Total earnings","Gisborne district","Dec-00",108361600,
"Total earnings","Hastings district (modified)","Dec-00",189585400,
"Total earnings","Wairoa district","Dec-00",20103300,
"Total earnings","North Shore city","Dec-00",569133500,
"Total earnings","Rodney district","Dec-00",119140800,
"Total earnings","Kaipara district","Dec-00",26155000,
"Total earnings","Whangarei district","Dec-00",178316700,
"Total earnings","Waitakere city","Dec-00",311066800,
"Total earnings","Auckland city","Dec-00",2654570800,
"Total earnings","Manukau city","Dec-00",889062300,
"Total earnings","Papakura district","Dec-00",101472000,
"Total earnings","Thames-Coromandel district","Dec-00",47759700,
"Total earnings","Franklin district","Dec-00",113290400,
"Total earnings","Hauraki district","Dec-00",28472700,
"Total earnings","Waikato district","Dec-00",71586100,
"Total earnings","Matamata-Piako district","Dec-00",74734100,
"Total earnings","Hamilton city","Dec-00",450876000,
"Total earnings","Otorohanga district","Dec-00",18899800,
"Total earnings","Waipa district","Dec-00",79657400,
"Total earnings","South Waikato district","Dec-00",75208400,
"Total earnings","Waitomo district (modified)","Dec-00",24501700,
"Total earnings","Taupo district (modified)","Dec-00",78607400,
"Total earnings","Western Bay of Plenty district","Dec-00",56818400,
"Total earnings","Rotorua district","Dec-00",189766800,
"Total earnings","Tauranga city","Dec-00",251606900,
"Total earnings","Kawerau district","Dec-00",41332500,
"Total earnings","Whakatane district (modified)","Dec-00",69390700,
"Total earnings","Opotiki district","Dec-00",13221100,
"Total earnings","Opotiki district","Sep-00",12707100,
"Total earnings","Gisborne district","Sep-00",99342900,
"Total earnings","Whakatane district (modified)","Sep-00",62853600,
"Total earnings","Kawerau district","Sep-00",49226700,
"Total earnings","Tauranga city","Sep-00",238331300,
"Total earnings","Rotorua district","Sep-00",177305600,
"Total earnings","Taupo district (modified)","Sep-00",73020800,
"Total earnings","Western Bay of Plenty district","Sep-00",57074600,
"Total earnings","South Waikato district","Sep-00",73235000,
"Total earnings","Waitomo district (modified)","Sep-00",21714100,
"Total earnings","Waipa district","Sep-00",74056700,
"Total earnings","Otorohanga district","Sep-00",17212100,
"Total earnings","Matamata-Piako district","Sep-00",67794300,
"Total earnings","Hamilton city","Sep-00",427490700,
"Total earnings","Hauraki district","Sep-00",25820000,
"Total earnings","Waikato district","Sep-00",61200600,
"Total earnings","Franklin district","Sep-00",102728100,
"Total earnings","Thames-Coromandel district","Sep-00",43052000,
"Total earnings","Manukau city","Sep-00",826827200,
"Total earnings","Papakura district","Sep-00",92270600,
"Total earnings","Waitakere city","Sep-00",283645800,
"Total earnings","Auckland city","Sep-00",2502753300,
"Total earnings","Whangarei district","Sep-00",160636000,
"Total earnings","Kaipara district","Sep-00",22544000,
"Total earnings","Rodney district","Sep-00",107832600,
"Total earnings","North Shore city","Sep-00",523078900,
"Total earnings","Wairoa district","Sep-00",18377400,
"Total earnings","Hastings district (modified)","Sep-00",168908800,
"Total earnings","Napier city","Sep-00",137218200,
"Total earnings","Central Hawke's Bay district","Sep-00",29681900,
"Total earnings","South Taranaki district","Sep-00",74512500,
"Total earnings","New Plymouth district","Sep-00",176619300,
"Total earnings","Stratford district","Sep-00",13072100,
"Total earnings","Far North district","Jun-00",80401400,
"Total earnings","Whangarei district","Jun-00",160399700,
"Total earnings","Kaipara district","Jun-00",23246100,
"Total earnings","Rodney district","Jun-00",106623900,
"Total earnings","North Shore city","Jun-00",516394200,
"Total earnings","Waitakere city","Jun-00",281091400,
"Total earnings","Auckland city","Jun-00",2407022700,
"Total earnings","Manukau city","Jun-00",795179100,
"Total earnings","Papakura district","Jun-00",92233500,
"Total earnings","Franklin district","Jun-00",108626400,
"Total earnings","Thames-Coromandel district","Jun-00",43264500,
"Total earnings","Hauraki district","Jun-00",25981800,
"Total earnings","Hauraki district","Mar-00",25074600,
"Total earnings","Franklin district","Mar-00",103852100,
"Total earnings","Manukau city","Mar-00",802590700,
"Total earnings","Auckland city","Mar-00",2486845100,
"Total earnings","Papakura district","Mar-00",95120100,
"Total earnings","Thames-Coromandel district","Mar-00",44076600,
"Total earnings","Waitakere city","Mar-00",270634000,
"Total earnings","North Shore city","Mar-00",521841300,
"Total earnings","Rodney district","Mar-00",107351600,
"Total earnings","Kaipara district","Mar-00",23112500,
"Total earnings","Whangarei district","Mar-00",157823200,
"Total earnings","Far North district","Mar-00",77211500,
"Total earnings","Far North district","Dec-99",81532000,
"Total earnings","Whangarei district","Dec-99",168427200,
"Total earnings","Kaipara district","Dec-99",23475400,
"Total earnings","Rodney district","Dec-99",111130100,
"Total earnings","North Shore city","Dec-99",542115100,
"Total earnings","Auckland city","Dec-99",2545773300,
"Total earnings","Waitakere city","Dec-99",298070600,
"Total earnings","Thames-Coromandel district","Dec-99",44942900,
"Total earnings","Papakura district","Dec-99",104466500,
"Total earnings","Manukau city","Dec-99",852952600,
