Measure,Territorial authority,Quarter,Value,Flags
"Total earnings","Nelson city","Dec-12",270057100,
"Total earnings","Marlborough district","Dec-12",213875100,
"Total earnings","South Wairarapa district","Dec-12",27540400,
"Total earnings","Tasman district","Dec-12",173329000,
"Total earnings","Masterton district","Dec-12",101187400,
"Total earnings","Carterton district","Dec-12",27765700,
"Total earnings","Whangarei district","Dec-12",363811300,
"Total earnings","Kaipara district","Dec-12",51179100,
"Total earnings","Auckland","Dec-12",9120792400,
"Total earnings","Thames-Coromandel district","Dec-12",82553400,
"Total earnings","Hauraki district","Dec-12",58607300,
"Total earnings","Waikato district","Dec-12",194781600,
"Total earnings","Matamata-Piako district","Dec-12",156298700,
"Total earnings","Hamilton city","Dec-12",977803400,
"Total earnings","Waipa district","Dec-12",175913800,
"Total earnings","Otorohanga district","Dec-12",35664200,
"Total earnings","South Waikato district","Dec-12",91724500,
"Total earnings","Waitomo district (modified)","Dec-12",45575600,
"Total earnings","Taupo district (modified)","Dec-12",146122800,
"Total earnings","Western Bay of Plenty district","Dec-12",116054800,
"Total earnings","Tauranga city","Dec-12",576185200,
"Total earnings","Rotorua district","Dec-12",333113200,
"Total earnings","Whakatane district (modified)","Dec-12",141222500,
"Total earnings","Kawerau district","Dec-12",44432400,
"Total earnings","Opotiki district","Dec-12",26762900,
"Total earnings","Gisborne district","Dec-12",192659800,
"Total earnings","Wairoa district","Dec-12",27945500,
"Total earnings","Hastings district (modified)","Dec-12",382087600,
"Total earnings","Napier city","Dec-12",247184400,
"Total earnings","Central Hawke's Bay district","Dec-12",50220300,
"Total earnings","New Plymouth district","Dec-12",444700300,
"Total earnings","Stratford district","Dec-12",28253800,
"Total earnings","South Taranaki district","Dec-12",156360300,
"Total earnings","Ruapehu district (modified)","Dec-12",54653500,
"Total earnings","Wanganui district","Dec-12",184428800,
"Total earnings","Rangitikei district (modified)","Dec-12",50784300,
"Total earnings","Manawatu district","Dec-12",86336400,
"Total earnings","Palmerston North city","Dec-12",551860900,
"Total earnings","Tararua district","Dec-12",56190700,
"Total earnings","Horowhenua district","Dec-12",79576600,
"Total earnings","Kapiti Coast district","Dec-12",109320900,
"Total earnings","Porirua city","Dec-12",187015600,
"Total earnings","Upper Hutt city","Dec-12",129156100,
"Total earnings","Lower Hutt city","Dec-12",538746300,
"Total earnings","Wellington city","Dec-12",2262220900,
"Total earnings","Wellington city","Sep-12",2191319700,
"Total earnings","Upper Hutt city","Sep-12",122434400,
"Total earnings","Kapiti Coast district","Sep-12",102197500,
"Total earnings","Horowhenua district","Sep-12",75136800,
"Total earnings","Tararua district","Sep-12",50341700,
"Total earnings","Rangitikei district (modified)","Sep-12",43310100,
"Total earnings","Palmerston North city","Sep-12",513007600,
"Total earnings","Manawatu district","Sep-12",74210700,
"Total earnings","Stratford district","Sep-12",28567000,
"Total earnings","Ruapehu district (modified)","Sep-12",54501600,
"Total earnings","Wanganui district","Sep-12",177282100,
"Total earnings","South Taranaki district","Sep-12",138311200,
"Total earnings","New Plymouth district","Sep-12",423716500,
"Total earnings","Central Hawke's Bay district","Sep-12",44201700,
"Total earnings","Napier city","Sep-12",231251400,
"Total earnings","Gisborne district","Sep-12",175004400,
"Total earnings","Hastings district (modified)","Sep-12",354761200,
"Total earnings","Wairoa district","Sep-12",25274300,
